state,x,y
Arunachal Pradesh,224,157
Andhra Pradesh,-62.0,-147.0
Assam,211,116
Bihar,73,97
Chhattisgarh,-11,-3
Goa,-174,-141
Gujarat,-210,26
Haryana,-125,163
Himachal Pradesh,-107,223
Jharkhand,53,36
Karnataka,-136,-166
Kerala,-123,-250
Madhya Pradesh,-67,31
Maharashtra,-132,-58
Manipur,226,82
Meghalaya,171,94
Mizoram,210,48
Nagaland,240,110
Odisha,54,-29
Punjab,-142,194
Rajasthan,-174,104
Sikkim,116,136
Tamil Nadu,-74.0,-232.0
Telangana,-61,-90
Tripura,182,55
Uttar Pradesh,-34,114
Uttarakhand,-64,189
West Bengal,102,33